ref,site_id,lat,lon,soil_hor,RSG,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,occ_p,mineral_p,inorg_p,org_p,avail_p,total_p
Lloyd et al. 2015,OTT-01,-16.4021,-61.2264,0-30 cm,Acrisols,0.75,0.14,0.1,0.8433468,444,24.6,1150,5.9,1.08,0.12,143.4,4.54,9.52,46.71,19.5,223.7
Lloyd et al. 2015,ACU-01,-15.1852,-61.32,0-30 cm,Acrisols,0.49,0.2,0.31,1.025169,323,24.1,1270,6.3,1.85,0.17,308.3,2.72,40.82,132.88,22.22,506.9
Quesada et al. 2010,SCR-05,1.93,-67.038,0-30 cm,Acrisols,0.89,0.06,0.05,0.1942898,98.6,26.2,3425,5.03,2.049,0.11,10.69,0.28,3.04,6.68,3.88,24.57
Quesada et al. 2010,SCR-01,1.933,-67.022,0-30 cm,Acrisols,0.88,0.03,0.08,0.2021736,109,26.2,3425,4.79,1.84,0.106,67.85,0.48,7.5,19.57,5.95,101.35
Quesada et al. 2010,ALF-01,-9.598,-55.937,0-30 cm,Acrisols,0.79,0.1,0.11,0.9472445,273.7,25.6,2353.1,4.65,1.188,0.118,70.53,1.23,15.82,23.54,7.02,118.14
Quesada et al. 2010,SUC-02,-3.253,-72.903,0-30 cm,Acrisols,0.32,0.22,0.46,0.6644737,113.4,26.3,2814.8,4.42,1.784,0.168,172.72,1.28,29.65,46.8,9.45,259.9
Quesada et al. 2010,CAX-02,-1.743,-51.461,0-30 cm,Acrisols,0.24,0.3,0.46,0.1914851,38.5,26.8,2178.1,3.96,1.168,0.073,85.74,1.13,10.84,11.65,5.6,114.96
Quesada et al. 2010,ELD-12,6.102,-61.403,0-30 cm,Acrisols,0.64,0.16,0.2,6.632593,327.5,26.3,2820.7,4.76,2.624,0.164,129.72,0.34,12.52,21,8.55,172.13
Quesada et al. 2010,CAX-01,-1.737,-51.463,0-30 cm,Acrisols,0.64,0.11,0.25,0.1914851,39.6,26.8,2178.1,4,1.285,0.076,81.12,0.82,8.45,16.2,8.82,115.41
Quesada et al. 2010,NOU-02,4.083,-52.667,0-30 cm,Acrisols,0.12,0.2,0.68,1.470712,140.5,24.9,3329.2,4.76,2.557,0.226,251.43,0.57,35.82,60.15,11.31,359.28
Quesada et al. 2010,OTT-01,-16.391,-61.212,0-30 cm,Acrisols,0.75,0.14,0.1,0.4031512,446.5,23.3,1142.6,5.88,1.075,0.115,143.37,4.58,9.46,46.82,19.14,223.37
Quesada et al. 2010,JEN-11,-4.878,-73.63,0-30 cm,Acrisols,0.44,0.34,0.22,0.4365088,122.4,26.8,2630,3.98,2.176,0.177,49.35,0.94,25.58,47.51,19.93,143.31
Quesada et al. 2010,ACU-01,-15.249,-61.245,0-30 cm,Acrisols,0.49,0.2,0.31,0.7521211,268.3,24.1,1270.3,6.3,1.848,0.174,308.33,2.29,40.55,133.61,22.16,506.94
Quesada et al. 2010,JAS-03,-1.077,-77.61,0-30 cm,Alisols,0.4,0.27,0.33,1.154447,430.6,23.8,3710.7,4.49,2.087,0.208,57.66,0.97,24.29,58.22,10.42,151.56
Quesada et al. 2010,TAM-01,-12.844,-69.288,0-30 cm,Alisols,0.18,0.53,0.29,0.1101912,216.3,25.3,2536.5,4.41,0.82,0.114,162.96,9.9,48.88,106.05,11.98,339.77
Quesada et al. 2010,JAS-04,-1.073,-77.612,0-30 cm,Alisols,0.42,0.28,0.31,1.154447,430.8,23.8,3710.7,4.37,2.403,0.222,87.95,0.8,18.66,45.23,9.59,162.23
