id,nx,ny,lat,lon,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,SRG_Acrisols,SRG_Alisols,SRG_Andosols,SRG_Arenosols,SRG_Cambisols,SRG_Ferralsols,SRG_Fluvisols,SRG_Gleysols,SRG_Lixisols,SRG_Luvisols,SRG_Nitisols,SRG_Plinthosols,SRG_Podzol,SRG_Regosols,SRG_Umbrisols
1,236,160,9.75,-61.75,0.1366,0.4256,0.4378,0.1418,11.5799,26.2759,1602.069,4.0014,5.95521,0.13738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,236,161,9.25,-61.75,0.01,0.51,0.48,0.0904,9.1639,26.2833,1638,3.7,3.49,0.14903,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,237,161,9.25,-61.25,0.0877,0.4582,0.4541,0.0597,6.6503,26.1611,1998.7778,3.885,5.0033,0.14211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,238,161,9.25,-60.75,0.2157,0.3729,0.4114,0.1073,15.6425,26.09,2204.3501,4.1898,7.49653,0.14175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,236,162,8.75,-61.75,0.01,0.51,0.48,0.0857,7.4375,26.4167,1558.8334,3.7,3.49,0.14129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,237,162,8.75,-61.25,0.01,0.51,0.48,0.1082,8.0467,26.3028,1927.3055,3.7,3.49,0.1496,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,238,162,8.75,-60.75,0.0975,0.4517,0.4508,0.1046,14.5856,26.17,2228.8999,3.9083,5.19417,0.15107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,235,163,8.25,-62.25,0.1909,0.3114,0.4977,1.3965,191.9606,24.8556,1178.6389,3.634,1.1255,0.23567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,236,163,8.25,-61.75,0.1874,0.366,0.4466,1.6085,337.5331,25.2778,1402.6111,3.725,1.4397,0.22583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,237,163,8.25,-61.25,0.2266,0.393,0.3804,1.0399,134.4256,26.3194,1711.6111,3.885,1.6298,0.14231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,238,163,8.25,-60.75,0.2332,0.3768,0.39,0.1654,24.9433,26.3139,2118.3057,3.82,1.7968,0.12186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,239,163,8.25,-60.25,0.2676,0.3204,0.412,0.2159,21.9427,26.1833,2483.9167,3.675,2.0867,0.14029,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,240,163,8.25,-59.75,0.064,0.1,0.1077,0.2124,19.555,26.2323,2782.7742,3.5704,35.18148,0.54732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,229,164,7.75,-65.25,0.4846,0.2838,0.2316,0.398,50.15,27.8,1483.6945,4.368,0.8826,0.09125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,231,164,7.75,-64.25,0.3727,0.3082,0.3191,0.9357,83.4253,27.5556,1300.5,4.001,0.934,0.10156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,232,164,7.75,-63.75,0.4336,0.2145,0.3519,0.81,103.605,27.2556,1211.0278,3.953,0.9759,0.10179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
