id,nx,ny,lat,lon,SRG,SAMPLE_RSG_ID1
"1","236","160",9.75,-61.75,Gleysols,18
"2","236","161",9.25,-61.75,Gleysols,18
"3","237","161",9.25,-61.25,Gleysols,18
"4","238","161",9.25,-60.75,Gleysols,18
"5","236","162",8.75,-61.75,Gleysols,18
"6","237","162",8.75,-61.25,Gleysols,18
"7","238","162",8.75,-60.75,Gleysols,18
"8","235","163",8.25,-62.25,Undef,3
"9","236","163",8.25,-61.75,Undef,3
"10","237","163",8.25,-61.25,Acrisols,1
"11","238","163",8.25,-60.75,Acrisols,1
"12","239","163",8.25,-60.25,Gleysols,18
"13","240","163",8.25,-59.75,Undef,26
"15","229","164",7.75,-65.25,Lixisols,7
"16","231","164",7.75,-64.25,Undef,3
"17","232","164",7.75,-63.75,Lixisols,7
"18","233","164",7.75,-63.25,Undef,3
"19","234","164",7.75,-62.75,Undef,3
"20","235","164",7.75,-62.25,Arenosols,17
"21","236","164",7.75,-61.75,Arenosols,17
"22","237","164",7.75,-61.25,Acrisols,1
"23","238","164",7.75,-60.75,Lixisols,7
"24","239","164",7.75,-60.25,Acrisols,1
"25","240","164",7.75,-59.75,Acrisols,1
"26","241","164",7.75,-59.25,Acrisols,1
"27","242","164",7.75,-58.75,Undef,26
"28","229","165",7.25,-65.25,Acrisols,1
"29","231","165",7.25,-64.25,Undef,3
"30","232","165",7.25,-63.75,Undef,3
"31","233","165",7.25,-63.25,Acrisols,1
"32","234","165",7.25,-62.75,Acrisols,1
"33","235","165",7.25,-62.25,Arenosols,17
"34","236","165",7.25,-61.75,Acrisols,1
"35","237","165",7.25,-61.25,Acrisols,1
"36","238","165",7.25,-60.75,Acrisols,1
"37","239","165",7.25,-60.25,Acrisols,1
"38","240","165",7.25,-59.75,Acrisols,1
"39","241","165",7.25,-59.25,Acrisols,1
"40","242","165",7.25,-58.75,Ferralsols,10
"41","226","166",6.75,-66.75,Lixisols,7
"42","227","166",6.75,-66.25,Undef,3
"43","228","166",6.75,-65.75,Acrisols,1
"44","229","166",6.75,-65.25,Undef,3
"45","230","166",6.75,-64.75,Acrisols,1
"46","231","166",6.75,-64.25,Acrisols,1
"47","232","166",6.75,-63.75,Acrisols,1
"48","233","166",6.75,-63.25,Acrisols,1
"49","234","166",6.75,-62.75,Acrisols,1
"50","235","166",6.75,-62.25,Arenosols,17
"51","236","166",6.75,-61.75,Acrisols,1
"52","237","166",6.75,-61.25,Acrisols,1
"53","238","166",6.75,-60.75,Acrisols,1
"54","239","166",6.75,-60.25,Acrisols,1
"55","240","166",6.75,-59.75,Acrisols,1
"56","241","166",6.75,-59.25,Acrisols,1
"57","242","166",6.75,-58.75,Ferralsols,10
"58","243","166",6.75,-58.25,Undef,26
"59","226","167",6.25,-66.75,Undef,3
"60","227","167",6.25,-66.25,Undef,3
"61","228","167",6.25,-65.75,Acrisols,1
