ID,NAME,ABREV
1,Acrisols,AC
2,Cryosols,CR
3,Leptosols,LP
4,Regosols,RG
5,Alisols,AL
6,Durisols,DU
7,Lixisols,LX
8,Retisols,RT
9,Andosols,AN
10,Ferrasols,FR
11,Luvisols,LV
12,Solonchak,SC
13,Anthrosols,AT
14,Fluvisols,FL
15,Nitisols,NT
16,Solonetz,SN
17,Arenosols,AR
18,Gleysols,GL
19,Phaeozem,PH
20,Stagnosols,ST
21,Calcisols,CL
22,Gypsisols,GY
23,Planosols,PL
24,Technosols,TC
25,Cambisols,CM
26,Histosols,HS
27,Plinthosols,PT
28,Umbrisols,UM
29,Chernozem,CH
30,Kastanozem,KS
31,Podzols,PZ
32,Vertisols,VR
