OID_,lat,lon,occ_p
0,-7.9583302,-77.875,310.22209999999995
1,-7.9583302,-77.7917023,308.6517
2,-7.9583302,-77.7082977,313.9528
3,-7.9583302,-77.625,330.89529999999996
4,-7.9583302,-77.375,312.51640000000003
5,-7.9583302,-77.2917023,301.5336
6,-7.9583302,-77.2082977,308.7197000000001
7,-7.9583302,-77.125,291.1843000000001
8,-7.9583302,-77.0417023,301.00300000000004
9,-7.9583302,-76.9582977,291.87490000000014
10,-7.9583302,-76.875,233.91780000000003
11,-7.9583302,-76.7917023,225.2069000000001
12,-7.9583302,-76.7082977,209.49360000000007
13,-7.9583302,-76.625,181.43619999999999
14,-7.9583302,-76.5417023,218.34440000000004
15,-7.9583302,-76.4582977,218.11479999999995
16,-7.9583302,-76.375,232.33610000000016
17,-7.9583302,-76.2917023,177.8849
18,-7.9583302,-76.2082977,209.8474
19,-7.9583302,-76.125,232.29920000000013
20,-7.9583302,-76.0417023,184.57719999999998
21,-7.9583302,-75.9582977,150.9886
22,-7.9583302,-75.875,187.65869999999995
23,-7.9583302,-75.7917023,177.3324999999999
24,-7.9583302,-75.7082977,155.59980000000002
25,-7.9583302,-75.625,162.82920000000001
26,-7.9583302,-75.5417023,130.63200000000003
27,-7.9583302,-75.4582977,136.81040000000002
28,-7.9583302,-75.375,123.51349999999996
29,-7.9583302,-75.2917023,119.07320000000001
30,-7.9583302,-75.2082977,113.72590000000004
31,-7.9583302,-75.125,95.95370000000001
32,-7.9583302,-75.0417023,99.03560000000002
33,-7.9583302,-74.9582977,108.23209999999993
34,-7.9583302,-74.5417023,134.87759999999992
35,-7.9583302,-74.4582977,104.5975
36,-7.9583302,-74.375,101.60269999999998
37,-7.9583302,-74.2917023,123.3624
38,-7.9583302,-74.2082977,139.85209999999995
39,-7.9583302,-74.125,138.19819999999999
40,-7.9583302,-74.0417023,133.35479999999998
41,-7.9583302,-73.9582977,175.7425
42,-7.9583302,-73.875,161.34839999999997
43,-7.9583302,-73.7917023,147.9553
44,-7.9583302,-73.7082977,144.34359999999998
45,-7.9583302,-73.625,167.0459
46,-7.9583302,-73.5417023,157.38649999999998
47,-7.9583302,-73.4582977,167.24089999999995
